name,owner_name,url,description,created,updated,watchers,language,topics,forks
0e0w/Malware,0e0w,https://github.com/0e0w/Malware,《深入理解恶意代码的艺术》,2021-08-05 01:42:08,2021-09-10 02:26:35,3,,"malware,bypassav,0e0w",1
0x00009b/viruses,0x00009b,https://github.com/0x00009b/viruses,A collection of viruses and malware from around the internet. to be used for education ,2019-12-05 13:42:15,2021-02-24 13:55:36,4,,"virus,malware-analysis,malware",0
0x00pf/programming4wannabes,0x00pf,https://github.com/0x00pf/programming4wannabes,Programming course for Wannabes,2021-01-12 07:11:02,2021-09-07 20:08:35,3,,"malware,assembly,c,rat,malware-development,syscalls,arm,mips,x86-64,linux,dropper",0
0x150/femboy-flooder,0x150,https://github.com/0x150/femboy-flooder,suffering,2021-04-25 11:35:53,2021-09-29 21:49:53,13,Java,"malware,femboy,flooder,java,swing,annoying,astolfo",4
0x27/linux.mirai,0x27,https://github.com/0x27/linux.mirai,Leaked Linux.Mirai Source Code for Research/IoC Development Purposes,2016-10-02 00:18:51,2021-09-18 10:36:51,488,C,"mirai,ioc,linux,mirai-source,iot,malware,ioc-development,malware-development,malware-research,malware-analysis,leak,botnet",244
0x44F/Windows-defender-bypass,0x44F,https://github.com/0x44F/Windows-defender-bypass,Simple C / Assembly malware made to specifically bypass the Windows Defender Anti-malware engine.,2021-08-25 04:01:47,2021-08-27 08:16:22,1,C,"malware,spyware,malware-detection,assembly-codes,windows-defender",0
0x454447415244/Facebook-Universal-Malware-Scanner,0x454447415244,https://github.com/0x454447415244/Facebook-Universal-Malware-Scanner,Facebook Universal Malware Scanner,2017-05-18 21:16:35,2019-10-28 13:57:47,3,PHP,"facebook,malware,anti-virus,scanner,security",0
0x48piraj/MalWAReX,0x48piraj,https://github.com/0x48piraj/MalWAReX,Collection of killers :skull_and_crossbones::biohazard::skull_and_crossbones:,2017-05-15 08:27:33,2021-09-28 04:26:15,74,Pascal,"research,rat,malware-analysis,malware,malware-research,malware-detection,malware-samples",33
0x4F776C/Chocolatey,0x4F776C,https://github.com/0x4F776C/Chocolatey,Chocolatey = sweet automation friend,2021-07-06 07:56:31,2021-07-14 04:35:18,0,Batchfile,"chocolatey,chocolatey-packages,malware-analysis",0
0x4F776C/DynamoRIO-x-Ghidra,0x4F776C,https://github.com/0x4F776C/DynamoRIO-x-Ghidra,Convert drcov text log for use in Ghidra scripting engine,2021-07-06 08:10:27,2021-09-30 17:41:56,1,Python,"malware-analysis,reverse-engineering,analysis",0
0x4meliorate/toxnet,0x4meliorate,https://github.com/0x4meliorate/toxnet,Decentralised P2P botnet using toxcore.,2020-10-12 07:24:23,2021-09-24 16:58:45,38,Go,"botnet,implant,c2,tox,toxcore,golang,malware,go,virus,decentralized,peer-to-peer,p2p,p2p-botnet,end-to-end-encryption,end-to-end,distributed,encrypted",13
0xDanielLopez/TweetFeed,0xDanielLopez,https://github.com/0xDanielLopez/TweetFeed,Collecting IOCs posted on Twitter,2021-08-07 16:24:37,2021-10-08 04:55:31,120,,"osint,malware,malware-research,malware-detection,phishing,phishing-attacks,phishing-detection,phishing-sites,blueteam",15
0xDanielLopez/phishing_kits,0xDanielLopez,https://github.com/0xDanielLopez/phishing_kits,Exposing phishing kits seen from phishunt.io,2020-05-21 12:25:43,2021-10-07 22:06:58,1,,"phishing,malware,scam,phishing-attacks,phishing-detection,phishing-kit,phishing-sites,scam-sites,osint",1
0xE0L/Simple-PDF-Analyzer,0xE0L,https://github.com/0xE0L/Simple-PDF-Analyzer,SPA is a script aimed at inspecting PDF files content. It notably extracts their JavaScript code in order to help you identify if the document is malicious or not.,2021-08-20 12:00:09,2021-10-02 18:30:31,1,Python,"malware-analysis,pdf,javascript",0
0xIslamTaha/Python-Rootkit,0xIslamTaha,https://github.com/0xIslamTaha/Python-Rootkit,Python Remote Administration Tool (RAT) to gain meterpreter session,2016-06-09 10:49:54,2021-10-04 12:04:45,381,Python,"rat,security,malware,meterpreter,python",132
0xN3utr0n/Kanis,0xN3utr0n,https://github.com/0xN3utr0n/Kanis,Advanced threat detection solution for Linux.,2020-04-06 22:03:37,2021-09-24 11:55:15,22,Go,"ids,malware,antivirus,linux,rootkit,threat-detection,containers,docker,container-security,yara-scanner,yara,endpoint-security",3
0xN3utr0n/Noteme,0xN3utr0n,https://github.com/0xN3utr0n/Noteme,ELF packer/crypter that aims to create hardened and stealthy troyans,2019-05-02 15:48:15,2021-10-02 00:06:19,39,C,"linux,malware,virus,elf,x64,infection,packer,parasite,troyan,crypter,polymorphic",8
0xPh0enix/njCrypter,0xPh0enix,https://github.com/0xPh0enix/njCrypter,Simple Free Crypter for .NET Trojans like njRAT,2020-02-16 17:25:52,2021-09-30 23:21:51,81,C#,"malware,trojan,njrat,crypter,cryptor,dotnet,av",34
0xPhoeniX/MazeWalker,0xPhoeniX,https://github.com/0xPhoeniX/MazeWalker,Toolkit for enriching and speeding up static malware analysis,2017-06-29 04:33:06,2021-08-05 03:12:17,138,C++,"static-analysis,idapython-plugin,malware-analysis,idapython,reverse-engineering,ida-pro",29
0xcpu/bonomen,0xcpu,https://github.com/0xcpu/bonomen,BONOMEN - Hunt for Malware Critical Process Impersonation,2016-12-20 20:47:18,2021-03-01 14:08:06,39,Rust,"malware-analysis,malware-research,windows,unix",10
0xcpu/lua-viral,0xcpu,https://github.com/0xcpu/lua-viral,A VirusTotal client written in Lua,2016-03-06 18:19:54,2020-03-18 11:01:59,3,Lua,"malware-analysis,malware-research,virustotal",1
0xd3xt3r/awesome-windows-rootkits,0xd3xt3r,https://github.com/0xd3xt3r/awesome-windows-rootkits,Collection of windows rootkits,2019-03-25 07:26:30,2021-06-12 14:34:29,15,,"malware-analysis,malware-research,malware,malware-sample,rootkits,windows-rootkits",10
0xd3xt3r/gandcrab-javascript-dropper,0xd3xt3r,https://github.com/0xd3xt3r/gandcrab-javascript-dropper,This is the gandcrab v5.0.3 javascript dropper,2018-10-19 06:59:30,2021-06-15 19:23:39,9,JavaScript,"gandcrab,malware-research,malware-analysis,malware-sample",7
0xedward/awesome-infosec,0xedward,https://github.com/0xedward/awesome-infosec,"A curated list of awesome infosec blog posts, courses, books and more!",2018-07-26 19:49:22,2021-09-03 05:33:05,60,,"infosec,courses,awesome,security,books,penetration-testing,pentesting,bug-bounty,recon,ctf,cryptography,privilege-escalation,vulnerable-applications,scripting,wargames,oscp,binary-exploitation,reverse-engineering,malware,hacker-blogs",19
0xm4v3rick/Extract-Macro,0xm4v3rick,https://github.com/0xm4v3rick/Extract-Macro,This PS script will extract macro from Excel and Word files. Also checks the macro for suspecious code patterns Includes temporary DDE check for word documents,2017-09-25 12:32:46,2021-09-17 18:42:42,25,PowerShell,"macros,malicious,powershell,malware",10
0xsha/florentino,0xsha,https://github.com/0xsha/florentino,Fast Static File Analysis Framework,2020-03-05 12:35:28,2021-07-09 00:01:49,96,Go,"malware-analysis,framework,file-analysis,file-analyzer,static-analysis,extraction",17
0xsha/sweetie-data,0xsha,https://github.com/0xsha/sweetie-data,This repo contains logstash of various honeypots,2020-02-23 15:57:38,2021-07-21 16:16:21,164,,"dataset,logstash,honeypot,malware-research,threat-intelligence,threatintel,threat-modeling,samples,data-science",17
